year,site,area_m,ndvi_min,ndvi_max,ndvi_range,ndvi_mean,ndvi_std
2016,26,24.12,-0.07692308,0.038062282,0.114985362,-0.009803237,0.029252469
2016,27,24.12,0.01754386,0.180487812,0.162943952,0.09527157,0.038674617
2016,28,25.2,-0.089041099,0,0.089041099,-0.042323071,0.021613958
2016,29,24.84,-0.018867925,0.074433655,0.093301579,0.027011777,0.020500002
2016,30,24.84,-0.012820513,0.049504951,0.062325464,0.012954798,0.012982546
2016,S31,25.2,0.009009009,0.074433655,0.065424645,0.037648557,0.012855677
2016,S2,24.84,-0.009063444,0.088607594,0.097671038,0.027389336,0.03100022
2016,S33,24.48,-0.038709678,0.069306932,0.10801661,0.00022407,0.021837329
2018,1,25.2,-0.043062203,0.082251079,0.125313282,0.029225889,0.029739971
2018,2,25.2,-0.032258064,0.095022626,0.12728069,0.028275595,0.028486163
2018,3,24.84,0.048458152,0.159999996,0.111541845,0.097765915,0.0256717
2018,4,25.2,-0.165829152,0.648351669,0.814180821,0.03601803,0.195413644
2018,5,25.2,-0.034482758,0.105990782,0.140473541,0.047612216,0.029818954
2018,6,24.84,-0.049019609,0.117647059,0.166666668,0.050015209,0.03146767
2018,7,25.56,0.015873017,0.097872339,0.081999322,0.053181604,0.017815487
2018,8,24.84,-0.005025126,0.106796116,0.111821241,0.049237924,0.026997107
2018,9,25.2,0.016216217,0.145945951,0.129729735,0.072628403,0.02832041
2018,10,25.2,-0.078787878,0.13636364,0.215151519,0.046610745,0.047145962
2018,11,24.84,0,0.092936806,0.092936806,0.032571731,0.01530262
2018,12,24.48,0.014492754,0.092063494,0.07757074,0.052589234,0.014736429
2018,13,24.84,0.064150944,0.448559672,0.384408727,0.131021235,0.068664157
2018,14,24.84,0.019762846,0.061068702,0.041305857,0.040152311,0.010509231
2018,15,24.12,0.047619049,0.17741935,0.129800301,0.096907109,0.022333789
2018,16,24.12,-0.109826587,0.01980198,0.129628567,-0.049595945,0.024629655
